wavelet,pearson correlation,nrmse,compression ratio,mode,threshold,levels
coif1,0.999197203116799,0.0204846079253371,1.4461938030510995,hard,20,1
bior1.3,0.9999828240618861,0.0029771100671374764,1.4442898524706353,hard,2,9
bior1.3,0.9999828416415597,0.0029755859388583927,1.4440954127891432,hard,2,4
coif1,0.9967752513394826,0.041426879050317715,1.4439226214625045,hard,50,1
bior1.3,0.997868797365896,0.07393729723123395,1.4422562302169022,soft,20,1
haar,0.9991555671739633,0.02104508563866179,1.4367265922062074,hard,20,1
coif1,0.9989114168832794,0.02369458350758125,1.4257066960058038,hard,20,4
sym2,0.9989039575218283,0.02377561280219329,1.42444977673837,hard,20,4
bior1.3,0.9932009829426716,0.1904336802254954,1.4208909257157154,soft,50,1
db4,0.9819595812507976,0.09604532640269617,1.4105727065347027,hard,150,9
coif1,0.9818141743691817,0.09644887071477165,1.410521182811213,hard,150,4
bior1.3,0.9991317325394341,0.021264016288709987,1.4098311278889981,hard,20,1
coif1,0.9989069290779443,0.023743195100055202,1.4088152993582703,hard,20,9
sym2,0.9988996373739772,0.023822354015792833,1.408694526067345,hard,20,9
haar,0.9965140245094125,0.04316303327885036,1.4004819862621223,hard,50,1
sym2,0.9814587711596536,0.09738732596966444,1.3922065233458196,hard,150,4
bior1.3,0.9968930528315597,0.0412957008911731,1.3845890447796514,soft,20,4
db4,0.9988797269985101,0.024036878910401818,1.3809571491153567,hard,20,4
coif1,0.995239593929511,0.04950515843907241,1.3750342725495572,hard,50,4
db4,0.9988749839509438,0.024087752291982054,1.3682669208364928,hard,20,9
db4,0.9955827603180493,0.0476911919585611,1.366509312110521,hard,50,4
bior1.3,0.9988686090391299,0.02416148476201451,1.3662893241978598,hard,20,4
bior1.3,0.9968771100651688,0.040529193716242015,1.3654390484087402,soft,20,9
sym2,0.9951401481069989,0.050018554203976405,1.3636718377551849,hard,50,4
bior1.3,0.9964994673587807,0.04319335702823928,1.3627117986142112,hard,50,1
bior1.3,0.9988645658692936,0.024204691684386933,1.3553509724813146,hard,20,9
db4,0.9955404857722164,0.0479174437846272,1.3375700979899758,hard,50,9
coif1,0.9813341038499707,0.097680211302824,1.33685467747938,hard,150,9
